sample_ID,project,site_name,site_id,site,site_position,time_interval_wks,replicate,tea_type,deployment_date,burial_depth_cm,retieval_date,total_deployment_time_days,empty_bag_weight_g,initial_tea_dw_g,initial_tb_dw_g,final_tb_dw_g,notes
PSD25_S1.1_t2_A_G,PSD25,Annes Beach,S1.1,1,1,t2,A,G,7/2/2025,5,7/14/2025,12,0.21,3,3.21,1.4101,
PSD25_S1.1_t2_B_G,PSD25,Annes Beach,S1.1,1,1,t2,B,G,7/2/2025,5,7/14/2025,12,0.21,3,3.21,1.3554,
PSD25_S1.1_t2_C_G,PSD25,Annes Beach,S1.1,1,1,t2,C,G,7/2/2025,5,7/14/2025,12,0.21,3,3.21,1.2907,
PSD25_S1.1_t2_D_G,PSD25,Annes Beach,S1.1,1,1,t2,D,G,7/2/2025,5,7/14/2025,12,0.21,3,3.21,1.4246,
PSD25_S1.1_t2_A_R,PSD25,Annes Beach,S1.1,1,1,t2,A,R,7/2/2025,5,7/14/2025,12,0.21,3,3.21,2.5601,
PSD25_S1.1_t2_B_R,PSD25,Annes Beach,S1.1,1,1,t2,B,R,7/2/2025,5,7/14/2025,12,0.21,3,3.21,2.5806,
PSD25_S1.1_t2_C_R,PSD25,Annes Beach,S1.1,1,1,t2,C,R,7/2/2025,5,7/14/2025,12,0.21,3,3.21,2.5351,
PSD25_S1.1_t2_D_R,PSD25,Annes Beach,S1.1,1,1,t2,D,R,7/2/2025,5,7/14/2025,12,0.21,3,3.21,2.5774,
PSD25_S1.2_t2_A_G,PSD25,Annes Beach,S1.2,1,2,t2,A,G,7/2/2025,5,7/14/2025,12,0.21,3,3.21,1.3335,
PSD25_S1.2_t2_B_G,PSD25,Annes Beach,S1.2,1,2,t2,B,G,7/2/2025,5,7/14/2025,12,0.21,3,3.21,1.3309,
PSD25_S1.2_t2_C_G,PSD25,Annes Beach,S1.2,1,2,t2,C,G,7/2/2025,5,7/14/2025,12,0.21,3,3.21,1.5089,
PSD25_S1.2_t2_D_G,PSD25,Annes Beach,S1.2,1,2,t2,D,G,7/2/2025,5,7/14/2025,12,0.21,3,3.21,1.6058,
PSD25_S1.2_t2_A_R,PSD25,Annes Beach,S1.2,1,2,t2,A,R,7/2/2025,5,7/14/2025,12,0.21,3,3.21,2.5355,
