sample_id,project,site_name,site_id,site,site_position,date,time_interval_wks,replicate,sample_vol_ml,wp_mass_g,wet_mass_g,dry_mass_g,notes
PSD25_S1.1_t0_A,PSD25,Annes Beach,S1.1,1,1,6/18/2025,t0,A,15,1.363,23.968,13.9862,
PSD25_S1.1_t0_B,PSD25,Annes Beach,S1.1,1,1,6/18/2025,t0,B,15,1.358,24.509,14.2071,
PSD25_S1.1_t0_C,PSD25,Annes Beach,S1.1,1,1,6/18/2025,t0,C,15,1.375,23.846,13.7932,
PSD25_S1.2_t0_A,PSD25,Annes Beach,S1.2,1,2,6/18/2025,t0,A,15,1.364,22.523,12.4497,
PSD25_S1.2_t0_B,PSD25,Annes Beach,S1.2,1,2,6/18/2025,t0,B,15,1.352,21.997,12.189,
PSD25_S1.2_t0_C,PSD25,Annes Beach,S1.2,1,2,6/18/2025,t0,C,15,1.358,24.067,14.0673,
PSD25_S1.3_t0_A,PSD25,Annes Beach,S1.3,1,3,6/18/2025,t0,A,15,1.361,22.361,12.0429,
PSD25_S1.3_t0_B,PSD25,Annes Beach,S1.3,1,3,6/18/2025,t0,B,15,1.363,22.029,11.7303,
PSD25_S1.3_t0_C,PSD25,Annes Beach,S1.3,1,3,6/18/2025,t0,C,15,1.365,21.829,11.628,
PSD25_S1.4_t0_A,PSD25,Annes Beach,S1.4,1,4,6/18/2025,t0,A,15,1.347,21.496,10.6854,
PSD25_S1.4_t0_B,PSD25,Annes Beach,S1.4,1,4,6/18/2025,t0,B,15,1.345,23.539,12.8764,
PSD25_S1.4_t0_C,PSD25,Annes Beach,S1.4,1,4,6/18/2025,t0,C,15,1.338,23.082,12.9791,
PSD25_S1.5_t0_A,PSD25,Annes Beach,S1.5,1,5,6/18/2025,t0,A,15,1.336,23.819,12.5047,
PSD25_S1.5_t0_B,PSD25,Annes Beach,S1.5,1,5,6/18/2025,t0,B,15,1.333,21.99,11.8636,
PSD25_S1.5_t0_C,PSD25,Annes Beach,S1.5,1,5,6/18/2025,t0,C,15,1.323,21.97,11.5259,
PSD25_S1.6_t0_A,PSD25,Annes Beach,S1.6,1,6,6/18/2025,t0,A,15,1.33,22.306,12.1912,
PSD25_S1.6_t0_B,PSD25,Annes Beach,S1.6,1,6,6/18/2025,t0,B,15,1.343,21.797,10.8026,
PSD25_S1.6_t0_C,PSD25,Annes Beach,S1.6,1,6,6/18/2025,t0,C,15,1.344,22.508,11.161,
