sample_id,project,site_name,site_id,site,site_position,date,time_interval_wks,replicate,crucible_num,crucible_mass,dry_mass_crucible_sample,ashed_mass_crucible_sample,notes
PSD25_S1.1_t0_A,PSD25,Annes Beach,S1.1,1,1,6/18/2025,t0,A,1,30.585,31.7138,31.569,
PSD25_S1.1_t0_B,PSD25,Annes Beach,S1.1,1,1,6/18/2025,t0,B,2,29.9884,31.2252,31.1619,
PSD25_S1.1_t0_C,PSD25,Annes Beach,S1.1,1,1,6/18/2025,t0,C,3,26.7994,28.1504,28.0815,
PSD25_S1.2_t0_A,PSD25,Annes Beach,S1.2,1,2,6/18/2025,t0,A,4,31.0705,32.8994,32.7745,
PSD25_S1.2_t0_B,PSD25,Annes Beach,S1.2,1,2,6/18/2025,t0,B,5,23.0069,24.725,24.5633,
PSD25_S1.2_t0_C,PSD25,Annes Beach,S1.2,1,2,6/18/2025,t0,C,6,25.9144,27.3005,27.2168,
PSD25_S1.3_t0_A,PSD25,Annes Beach,S1.3,1,3,6/18/2025,t0,A,7,27.4798,29.3827,29.262,
PSD25_S1.3_t0_B,PSD25,Annes Beach,S1.3,1,3,6/18/2025,t0,B,8,24.4703,25.8347,25.7479,
PSD25_S1.3_t0_C,PSD25,Annes Beach,S1.3,1,3,6/18/2025,t0,C,9,27.038,28.6558,28.5517,
PSD25_S1.4_t0_A,PSD25,Annes Beach,S1.4,1,4,6/18/2025,t0,A,10,27.5248,28.6428,28.5312,
PSD25_S1.4_t0_B,PSD25,Annes Beach,S1.4,1,4,6/18/2025,t0,B,11,31.7023,33.5803,33.4377,
PSD25_S1.4_t0_C,PSD25,Annes Beach,S1.4,1,4,6/18/2025,t0,C,12,28.5293,30.3033,30.156,
PSD25_S1.5_t0_A,PSD25,Annes Beach,S1.5,1,5,6/18/2025,t0,A,13,23.695,25.226,25.1146,
PSD25_S1.5_t0_B,PSD25,Annes Beach,S1.5,1,5,6/18/2025,t0,B,14,27.7948,29.3111,29.2039,
PSD25_S1.5_t0_C,PSD25,Annes Beach,S1.5,1,5,6/18/2025,t0,C,15,27.4051,29.0525,28.9308,
PSD25_S1.6_t0_A,PSD25,Annes Beach,S1.6,1,6,6/18/2025,t0,A,16,22.9559,24.7655,24.6001,
PSD25_S1.6_t0_B,PSD25,Annes Beach,S1.6,1,6,6/18/2025,t0,B,17,28.8656,30.2324,30.1248,
PSD25_S1.6_t0_C,PSD25,Annes Beach,S1.6,1,6,6/18/2025,t0,C,18,26.7251,28.7267,28.5809,
PSD25_S2.1_t0_A,PSD25,Craig Key,S2.1,2,1,6/18/2025,t0,A,19,27.8985,29.6384,29.4513,
PSD25_S2.1_t0_B,PSD25,Craig Key,S2.1,2,1,6/18/2025,t0,B,20,25.0428,26.8348,26.6738,
PSD25_S2.1_t0_C,PSD25,Craig Key,S2.1,2,1,6/18/2025,t0,C,1,30.5862,32.184,32.0417,
PSD25_S2.2_t0_A,PSD25,Craig Key,S2.2,2,2,6/18/2025,t0,A,2,29.9895,31.681,31.5188,
PSD25_S2.2_t0_B,PSD25,Craig Key,S2.2,2,2,6/18/2025,t0,B,3,26.8002,27.8777,27.7691,
PSD25_S2.2_t0_C,PSD25,Craig Key,S2.2,2,2,6/18/2025,t0,C,4,31.0711,32.1603,32.0549,
PSD25_S2.3_t0_A,PSD25,Craig Key,S2.3,2,3,6/18/2025,t0,A,5,23.0077,24.7336,24.6591,
PSD25_S2.3_t0_B,PSD25,Craig Key,S2.3,2,3,6/18/2025,t0,B,6,25.9154,27.0612,27.0028,
PSD25_S2.3_t0_C,PSD25,Craig Key,S2.3,2,3,6/18/2025,t0,C,7,27.481,29.4533,29.362,
PSD25_S2.4_t0_A,PSD25,Craig Key,S2.4,2,4,6/18/2025,t0,A,8,24.4708,26.1376,26.0642,
PSD25_S2.4_t0_B,PSD25,Craig Key,S2.4,2,4,6/18/2025,t0,B,9,27.0389,28.7252,28.6318,
PSD25_S2.4_t0_C,PSD25,Craig Key,S2.4,2,4,6/18/2025,t0,C,10,27.5256,29.2741,29.1911,
PSD25_S2.5_t0_A,PSD25,Craig Key,S2.5,2,5,6/18/2025,t0,A,11,31.7035,33.4386,33.3556,
PSD25_S2.5_t0_B,PSD25,Craig Key,S2.5,2,5,6/18/2025,t0,B,12,28.53,30.6216,30.5282,
PSD25_S2.5_t0_C,PSD25,Craig Key,S2.5,2,5,6/18/2025,t0,C,13,23.695,25.2269,25.1409,
PSD25_S2.6_t0_A,PSD25,Craig Key,S2.6,2,6,6/18/2025,t0,A,14,27.7955,29.2042,29.1121,
PSD25_S2.6_t0_B,PSD25,Craig Key,S2.6,2,6,6/18/2025,t0,B,15,27.4056,28.8044,28.7122,
PSD25_S2.6_t0_C,PSD25,Craig Key,S2.6,2,6,6/18/2025,t0,C,16,22.9563,24.2728,24.1814,
PSD25_S3.1_t0_A,PSD25,Little Conch,S3.1,3,1,6/16/2025,t0,A,17,28.8661,30.4038,30.2557,
PSD25_S3.1_t0_B,PSD25,Little Conch,S3.1,3,1,6/16/2025,t0,B,18,26.7256,28.3074,28.1472,
PSD25_S3.1_t0_C,PSD25,Little Conch,S3.1,3,1,6/16/2025,t0,C,19,27.899,29.0138,28.9086,
PSD25_S3.2_t0_A,PSD25,Little Conch,S3.2,3,2,6/16/2025,t0,A,20,25.0431,26.1373,26.041,
PSD25_S3.2_t0_B,PSD25,Little Conch,S3.2,3,2,6/16/2025,t0,B,1,30.5835,31.7322,31.6334,
PSD25_S3.2_t0_C,PSD25,Little Conch,S3.2,3,2,6/16/2025,t0,C,2,29.9872,31.5715,31.4368,
PSD25_S3.3_t0_A,PSD25,Little Conch,S3.3,3,3,6/16/2025,t0,A,3,26.7974,28.4375,28.3005,
PSD25_S3.3_t0_B,PSD25,Little Conch,S3.3,3,3,6/16/2025,t0,B,4,31.0694,32.4872,32.3818,
PSD25_S3.3_t0_C,PSD25,Little Conch,S3.3,3,3,6/16/2025,t0,C,5,23.0064,24.4931,24.371,
PSD25_S3.4_t0_A,PSD25,Little Conch,S3.4,3,4,6/16/2025,t0,A,6,25.9144,27.7532,27.592,
PSD25_S3.4_t0_B,PSD25,Little Conch,S3.4,3,4,6/16/2025,t0,B,7,27.48,28.7669,28.6515,
PSD25_S3.4_t0_C,PSD25,Little Conch,S3.4,3,4,6/16/2025,t0,C,8,24.4697,26.0271,25.8928,
PSD25_S3.5_t0_A,PSD25,Little Conch,S3.5,3,5,6/16/2025,t0,A,9,27.0384,28.2429,28.111,
PSD25_S3.5_t0_B,PSD25,Little Conch,S3.5,3,5,6/16/2025,t0,B,10,27.5252,29.2558,29.1078,
PSD25_S3.5_t0_C,PSD25,Little Conch,S3.5,3,5,6/16/2025,t0,C,11,31.7027,33.0203,32.8999,
PSD25_S3.6_t0_A,PSD25,Little Conch,S3.6,3,6,6/16/2025,t0,A,12,28.5296,30.2181,30.0867,
PSD25_S3.6_t0_B,PSD25,Little Conch,S3.6,3,6,6/16/2025,t0,B,13,23.695,25.3104,25.1962,
PSD25_S3.6_t0_C,PSD25,Little Conch,S3.6,3,6,6/16/2025,t0,C,14,27.795,29.2145,29.1061,
