sample_id,project,site_name,site_id,site,site_position,date,time_interval_wks,replicate,quadrat_area_m2,Tt_count,Tt_seed,Sf_count,Hw_count,Hal_count,Udo_count,Pen_count,Drift_count,Sponge_count,notes
PSD25_S1.1_t0_A,PSD25,Annes Beach,S1.1,1,1,6/6/2025,t0,A,0.0625,0,0,0,0,7,0,0,,,
PSD25_S1.1_t0_B,PSD25,Annes Beach,S1.1,1,1,6/6/2025,t0,B,0.0625,0,0,0,0,3,0,3,,,
PSD25_S1.1_t0_C,PSD25,Annes Beach,S1.1,1,1,6/6/2025,t0,C,0.0625,0,0,0,0,1,0,5,,,
PSD25_S1.2_t0_A,PSD25,Annes Beach,S1.2,1,2,6/6/2025,t0,A,0.0625,31,0,0,0,30,0,5,,,
PSD25_S1.2_t0_B,PSD25,Annes Beach,S1.2,1,2,6/6/2025,t0,B,0.0625,32,0,0,0,16,0,6,,,
PSD25_S1.2_t0_C,PSD25,Annes Beach,S1.2,1,2,6/6/2025,t0,C,0.0625,41,0,0,0,15,0,9,,,
PSD25_S1.3_t0_A,PSD25,Annes Beach,S1.3,1,3,6/6/2025,t0,A,0.0625,2,0,0,0,3,0,0,,,
PSD25_S1.3_t0_B,PSD25,Annes Beach,S1.3,1,3,6/6/2025,t0,B,0.0625,17,0,0,0,0,0,0,,,
PSD25_S1.3_t0_C,PSD25,Annes Beach,S1.3,1,3,6/6/2025,t0,C,0.0625,5,0,0,9,6,0,0,,,
PSD25_S1.4_t0_A,PSD25,Annes Beach,S1.4,1,4,6/6/2025,t0,A,0.0625,23,0,0,0,0,0,0,,,
PSD25_S1.4_t0_B,PSD25,Annes Beach,S1.4,1,4,6/6/2025,t0,B,0.0625,32,0,0,0,2,0,0,,,
PSD25_S1.4_t0_C,PSD25,Annes Beach,S1.4,1,4,6/6/2025,t0,C,0.0625,28,0,0,0,1,0,0,,,
PSD25_S1.5_t0_A,PSD25,Annes Beach,S1.5,1,5,6/6/2025,t0,A,0.0625,34,0,0,0,1,0,0,,,
