sample_id,project,site_name,site_id,site,site_position,date,time_interval_wks,replicate,bps_replicate,Tt_bps,notes
PSD25_S1.1_t0_A,PSD25,Annes Beach,S1.1,1,1,2025-06-06,t0,A,1,NA,
PSD25_S1.1_t0_A,PSD25,Annes Beach,S1.1,1,1,2025-06-06,t0,A,2,NA,
PSD25_S1.1_t0_A,PSD25,Annes Beach,S1.1,1,1,2025-06-06,t0,A,3,NA,
PSD25_S1.1_t0_A,PSD25,Annes Beach,S1.1,1,1,2025-06-06,t0,A,4,NA,
PSD25_S1.1_t0_A,PSD25,Annes Beach,S1.1,1,1,2025-06-06,t0,A,5,NA,
PSD25_S1.1_t0_B,PSD25,Annes Beach,S1.1,1,1,2025-06-06,t0,B,1,NA,
PSD25_S1.1_t0_B,PSD25,Annes Beach,S1.1,1,1,2025-06-06,t0,B,2,NA,
PSD25_S1.1_t0_B,PSD25,Annes Beach,S1.1,1,1,2025-06-06,t0,B,3,NA,
PSD25_S1.1_t0_B,PSD25,Annes Beach,S1.1,1,1,2025-06-06,t0,B,4,NA,
PSD25_S1.1_t0_B,PSD25,Annes Beach,S1.1,1,1,2025-06-06,t0,B,5,NA,
PSD25_S1.1_t0_C,PSD25,Annes Beach,S1.1,1,1,2025-06-06,t0,C,1,NA,
PSD25_S1.1_t0_C,PSD25,Annes Beach,S1.1,1,1,2025-06-06,t0,C,2,NA,
PSD25_S1.1_t0_C,PSD25,Annes Beach,S1.1,1,1,2025-06-06,t0,C,3,NA,
PSD25_S1.1_t0_C,PSD25,Annes Beach,S1.1,1,1,2025-06-06,t0,C,4,NA,
PSD25_S1.1_t0_C,PSD25,Annes Beach,S1.1,1,1,2025-06-06,t0,C,5,NA,
PSD25_S1.2_t0_A,PSD25,Annes Beach,S1.2,1,2,2025-06-06,t0,A,1,4,
PSD25_S1.2_t0_A,PSD25,Annes Beach,S1.2,1,2,2025-06-06,t0,A,2,3,
PSD25_S1.2_t0_A,PSD25,Annes Beach,S1.2,1,2,2025-06-06,t0,A,3,4,
PSD25_S1.2_t0_A,PSD25,Annes Beach,S1.2,1,2,2025-06-06,t0,A,4,3,
PSD25_S1.2_t0_A,PSD25,Annes Beach,S1.2,1,2,2025-06-06,t0,A,5,4,
PSD25_S1.2_t0_B,PSD25,Annes Beach,S1.2,1,2,2025-06-06,t0,B,1,3,
PSD25_S1.2_t0_B,PSD25,Annes Beach,S1.2,1,2,2025-06-06,t0,B,2,4,
PSD25_S1.2_t0_B,PSD25,Annes Beach,S1.2,1,2,2025-06-06,t0,B,3,4,
PSD25_S1.2_t0_B,PSD25,Annes Beach,S1.2,1,2,2025-06-06,t0,B,4,4,
PSD25_S1.2_t0_B,PSD25,Annes Beach,S1.2,1,2,2025-06-06,t0,B,5,3,
PSD25_S1.2_t0_C,PSD25,Annes Beach,S1.2,1,2,2025-06-06,t0,C,1,4,
PSD25_S1.2_t0_C,PSD25,Annes Beach,S1.2,1,2,2025-06-06,t0,C,2,3,
PSD25_S1.2_t0_C,PSD25,Annes Beach,S1.2,1,2,2025-06-06,t0,C,3,4,
PSD25_S1.2_t0_C,PSD25,Annes Beach,S1.2,1,2,2025-06-06,t0,C,4,4,
