sample_id,project,site_name,site_id,site,site_position,date,time_interval_wks,replicate,morph_replicate,blade_width_cm,blade_length_cm,notes
PSD25_S1.1_t0_A,PSD25,Annes Beach,S1.1,1,1,2025-06-12,t0,A,1,0.8,5,
PSD25_S1.1_t0_A,PSD25,Annes Beach,S1.1,1,1,2025-06-12,t0,A,2,0.7,15.1,
PSD25_S1.1_t0_A,PSD25,Annes Beach,S1.1,1,1,2025-06-12,t0,A,3,0.8,11,
PSD25_S1.1_t0_A,PSD25,Annes Beach,S1.1,1,1,2025-06-12,t0,A,4,0.8,11.5,
PSD25_S1.1_t0_A,PSD25,Annes Beach,S1.1,1,1,2025-06-12,t0,A,5,1,12.7,
PSD25_S1.1_t0_A,PSD25,Annes Beach,S1.1,1,1,2025-06-12,t0,A,6,0.6,13.1,
PSD25_S1.1_t0_A,PSD25,Annes Beach,S1.1,1,1,2025-06-12,t0,A,7,0.8,5.1,
PSD25_S1.1_t0_A,PSD25,Annes Beach,S1.1,1,1,2025-06-12,t0,A,8,0.9,13.6,
PSD25_S1.1_t0_A,PSD25,Annes Beach,S1.1,1,1,2025-06-12,t0,A,9,0.9,6.3,
PSD25_S1.1_t0_A,PSD25,Annes Beach,S1.1,1,1,2025-06-12,t0,A,10,0.7,8.4,
PSD25_S1.1_t0_B,PSD25,Annes Beach,S1.1,1,1,2025-06-12,t0,B,1,NA,NA,
PSD25_S1.1_t0_B,PSD25,Annes Beach,S1.1,1,1,2025-06-12,t0,B,2,NA,NA,
PSD25_S1.1_t0_B,PSD25,Annes Beach,S1.1,1,1,2025-06-12,t0,B,3,NA,NA,
PSD25_S1.1_t0_B,PSD25,Annes Beach,S1.1,1,1,2025-06-12,t0,B,4,NA,NA,
PSD25_S1.1_t0_B,PSD25,Annes Beach,S1.1,1,1,2025-06-12,t0,B,5,NA,NA,
PSD25_S1.1_t0_C,PSD25,Annes Beach,S1.1,1,1,2025-06-12,t0,C,1,NA,NA,
PSD25_S1.1_t0_C,PSD25,Annes Beach,S1.1,1,1,2025-06-12,t0,C,2,NA,NA,
PSD25_S1.1_t0_C,PSD25,Annes Beach,S1.1,1,1,2025-06-12,t0,C,3,NA,NA,
PSD25_S1.1_t0_C,PSD25,Annes Beach,S1.1,1,1,2025-06-12,t0,C,4,NA,NA,
PSD25_S1.1_t0_C,PSD25,Annes Beach,S1.1,1,1,2025-06-12,t0,C,5,NA,NA,
PSD25_S1.2_t0_A,PSD25,Annes Beach,S1.2,1,2,2025-06-12,t0,A,1,1,13.6,
PSD25_S1.2_t0_A,PSD25,Annes Beach,S1.2,1,2,2025-06-12,t0,A,2,0.7,20.2,
PSD25_S1.2_t0_A,PSD25,Annes Beach,S1.2,1,2,2025-06-12,t0,A,3,1,15.8,
PSD25_S1.2_t0_A,PSD25,Annes Beach,S1.2,1,2,2025-06-12,t0,A,4,0.6,5.6,
PSD25_S1.2_t0_A,PSD25,Annes Beach,S1.2,1,2,2025-06-12,t0,A,5,0.7,20.5,
PSD25_S1.2_t0_B,PSD25,Annes Beach,S1.2,1,2,2025-06-12,t0,B,1,1.2,21.7,
PSD25_S1.2_t0_B,PSD25,Annes Beach,S1.2,1,2,2025-06-12,t0,B,2,1,20.5,
PSD25_S1.2_t0_B,PSD25,Annes Beach,S1.2,1,2,2025-06-12,t0,B,3,0.9,22.3,
PSD25_S1.2_t0_B,PSD25,Annes Beach,S1.2,1,2,2025-06-12,t0,B,4,1.2,25.6,
PSD25_S1.2_t0_B,PSD25,Annes Beach,S1.2,1,2,2025-06-12,t0,B,5,0.8,19.7,
PSD25_S1.2_t0_C,PSD25,Annes Beach,S1.2,1,2,2025-06-12,t0,C,1,0.8,14.8,
PSD25_S1.2_t0_C,PSD25,Annes Beach,S1.2,1,2,2025-06-12,t0,C,2,1,17.7,
PSD25_S1.2_t0_C,PSD25,Annes Beach,S1.2,1,2,2025-06-12,t0,C,3,1.1,14.3,
PSD25_S1.2_t0_C,PSD25,Annes Beach,S1.2,1,2,2025-06-12,t0,C,4,1,18.3,
PSD25_S1.2_t0_C,PSD25,Annes Beach,S1.2,1,2,2025-06-12,t0,C,5,1.2,24.1,
PSD25_S1.3_t0_A,PSD25,Annes Beach,S1.3,1,3,2025-06-12,t0,A,1,0.6,11.1,
PSD25_S1.3_t0_A,PSD25,Annes Beach,S1.3,1,3,2025-06-12,t0,A,2,0.5,7.3,
PSD25_S1.3_t0_A,PSD25,Annes Beach,S1.3,1,3,2025-06-12,t0,A,3,0.5,10.2,
PSD25_S1.3_t0_A,PSD25,Annes Beach,S1.3,1,3,2025-06-12,t0,A,4,NA,NA,
PSD25_S1.3_t0_A,PSD25,Annes Beach,S1.3,1,3,2025-06-12,t0,A,5,NA,NA,
PSD25_S1.3_t0_B,PSD25,Annes Beach,S1.3,1,3,2025-06-12,t0,B,1,NA,NA,
PSD25_S1.3_t0_B,PSD25,Annes Beach,S1.3,1,3,2025-06-12,t0,B,2,NA,NA,
PSD25_S1.3_t0_B,PSD25,Annes Beach,S1.3,1,3,2025-06-12,t0,B,3,NA,NA,
PSD25_S1.3_t0_B,PSD25,Annes Beach,S1.3,1,3,2025-06-12,t0,B,4,NA,NA,
PSD25_S1.3_t0_B,PSD25,Annes Beach,S1.3,1,3,2025-06-12,t0,B,5,NA,NA,
PSD25_S1.3_t0_C,PSD25,Annes Beach,S1.3,1,3,2025-06-12,t0,C,1,NA,NA,
PSD25_S1.3_t0_C,PSD25,Annes Beach,S1.3,1,3,2025-06-12,t0,C,2,NA,NA,
PSD25_S1.3_t0_C,PSD25,Annes Beach,S1.3,1,3,2025-06-12,t0,C,3,NA,NA,
PSD25_S1.3_t0_C,PSD25,Annes Beach,S1.3,1,3,2025-06-12,t0,C,4,NA,NA,
PSD25_S1.3_t0_C,PSD25,Annes Beach,S1.3,1,3,2025-06-12,t0,C,5,NA,NA,
PSD25_S1.4_t0_A,PSD25,Annes Beach,S1.4,1,4,2025-06-12,t0,A,1,1.1,12.8,
PSD25_S1.4_t0_A,PSD25,Annes Beach,S1.4,1,4,2025-06-12,t0,A,2,0.7,10.6,
PSD25_S1.4_t0_A,PSD25,Annes Beach,S1.4,1,4,2025-06-12,t0,A,3,0.9,8.7,
PSD25_S1.4_t0_A,PSD25,Annes Beach,S1.4,1,4,2025-06-12,t0,A,4,1,11.2,
PSD25_S1.4_t0_A,PSD25,Annes Beach,S1.4,1,4,2025-06-12,t0,A,5,1.1,6.9,
PSD25_S1.4_t0_B,PSD25,Annes Beach,S1.4,1,4,2025-06-12,t0,B,1,0.7,16.5,
PSD25_S1.4_t0_B,PSD25,Annes Beach,S1.4,1,4,2025-06-12,t0,B,2,0.6,14.2,
PSD25_S1.4_t0_B,PSD25,Annes Beach,S1.4,1,4,2025-06-12,t0,B,3,0.9,15.1,
PSD25_S1.4_t0_B,PSD25,Annes Beach,S1.4,1,4,2025-06-12,t0,B,4,1,20.6,
PSD25_S1.4_t0_B,PSD25,Annes Beach,S1.4,1,4,2025-06-12,t0,B,5,0.9,10.1,
PSD25_S1.4_t0_C,PSD25,Annes Beach,S1.4,1,4,2025-06-12,t0,C,1,1.1,16.1,
PSD25_S1.4_t0_C,PSD25,Annes Beach,S1.4,1,4,2025-06-12,t0,C,2,1,19.1,
PSD25_S1.4_t0_C,PSD25,Annes Beach,S1.4,1,4,2025-06-12,t0,C,3,1,16.6,
PSD25_S1.4_t0_C,PSD25,Annes Beach,S1.4,1,4,2025-06-12,t0,C,4,1.2,19.2,
PSD25_S1.4_t0_C,PSD25,Annes Beach,S1.4,1,4,2025-06-12,t0,C,5,1.2,21.2,
PSD25_S1.5_t0_A,PSD25,Annes Beach,S1.5,1,5,2025-06-12,t0,A,1,0.9,10.3,
PSD25_S1.5_t0_A,PSD25,Annes Beach,S1.5,1,5,2025-06-12,t0,A,2,1,26,
PSD25_S1.5_t0_A,PSD25,Annes Beach,S1.5,1,5,2025-06-12,t0,A,3,0.9,21.7,
PSD25_S1.5_t0_A,PSD25,Annes Beach,S1.5,1,5,2025-06-12,t0,A,4,0.9,24.1,
PSD25_S1.5_t0_A,PSD25,Annes Beach,S1.5,1,5,2025-06-12,t0,A,5,0.9,29.1,
PSD25_S1.5_t0_B,PSD25,Annes Beach,S1.5,1,5,2025-06-12,t0,B,1,1.1,25,
PSD25_S1.5_t0_B,PSD25,Annes Beach,S1.5,1,5,2025-06-12,t0,B,2,0.8,22.7,
PSD25_S1.5_t0_B,PSD25,Annes Beach,S1.5,1,5,2025-06-12,t0,B,3,1.2,26.5,
PSD25_S1.5_t0_B,PSD25,Annes Beach,S1.5,1,5,2025-06-12,t0,B,4,1.2,21.5,
PSD25_S1.5_t0_B,PSD25,Annes Beach,S1.5,1,5,2025-06-12,t0,B,5,0.8,16.5,
PSD25_S1.5_t0_C,PSD25,Annes Beach,S1.5,1,5,2025-06-12,t0,C,1,1.2,29.5,
PSD25_S1.5_t0_C,PSD25,Annes Beach,S1.5,1,5,2025-06-12,t0,C,2,1.2,26.8,
PSD25_S1.5_t0_C,PSD25,Annes Beach,S1.5,1,5,2025-06-12,t0,C,3,1.2,20.9,
PSD25_S1.5_t0_C,PSD25,Annes Beach,S1.5,1,5,2025-06-12,t0,C,4,0.8,16.9,
PSD25_S1.5_t0_C,PSD25,Annes Beach,S1.5,1,5,2025-06-12,t0,C,5,1.1,14.5,
PSD25_S1.6_t0_A,PSD25,Annes Beach,S1.6,1,6,2025-06-12,t0,A,1,NA,NA,
PSD25_S1.6_t0_A,PSD25,Annes Beach,S1.6,1,6,2025-06-12,t0,A,2,NA,NA,
PSD25_S1.6_t0_A,PSD25,Annes Beach,S1.6,1,6,2025-06-12,t0,A,3,NA,NA,
PSD25_S1.6_t0_A,PSD25,Annes Beach,S1.6,1,6,2025-06-12,t0,A,4,NA,NA,
PSD25_S1.6_t0_A,PSD25,Annes Beach,S1.6,1,6,2025-06-12,t0,A,5,NA,NA,
PSD25_S1.6_t0_B,PSD25,Annes Beach,S1.6,1,6,2025-06-12,t0,B,1,NA,NA,
PSD25_S1.6_t0_B,PSD25,Annes Beach,S1.6,1,6,2025-06-12,t0,B,2,NA,NA,
PSD25_S1.6_t0_B,PSD25,Annes Beach,S1.6,1,6,2025-06-12,t0,B,3,NA,NA,
PSD25_S1.6_t0_B,PSD25,Annes Beach,S1.6,1,6,2025-06-12,t0,B,4,NA,NA,
PSD25_S1.6_t0_B,PSD25,Annes Beach,S1.6,1,6,2025-06-12,t0,B,5,NA,NA,
PSD25_S1.6_t0_C,PSD25,Annes Beach,S1.6,1,6,2025-06-12,t0,C,1,0.9,12.9,
PSD25_S1.6_t0_C,PSD25,Annes Beach,S1.6,1,6,2025-06-12,t0,C,2,0.9,12.2,
PSD25_S1.6_t0_C,PSD25,Annes Beach,S1.6,1,6,2025-06-12,t0,C,3,0.8,10.3,
PSD25_S1.6_t0_C,PSD25,Annes Beach,S1.6,1,6,2025-06-12,t0,C,4,0.8,10.1,
PSD25_S1.6_t0_C,PSD25,Annes Beach,S1.6,1,6,2025-06-12,t0,C,5,0.9,1.2,
PSD25_S2.1_t0_A,PSD25,Craig Key,S2.1,2,1,2025-06-09,t0,A,1,0.8,16.3,
PSD25_S2.1_t0_A,PSD25,Craig Key,S2.1,2,1,2025-06-09,t0,A,2,0.5,12.4,
PSD25_S2.1_t0_A,PSD25,Craig Key,S2.1,2,1,2025-06-09,t0,A,3,0.7,14.9,
PSD25_S2.1_t0_A,PSD25,Craig Key,S2.1,2,1,2025-06-09,t0,A,4,0.8,10,
PSD25_S2.1_t0_A,PSD25,Craig Key,S2.1,2,1,2025-06-09,t0,A,5,NA,NA,
PSD25_S2.1_t0_B,PSD25,Craig Key,S2.1,2,1,2025-06-09,t0,B,1,0.8,17.3,
PSD25_S2.1_t0_B,PSD25,Craig Key,S2.1,2,1,2025-06-09,t0,B,2,0.3,4.6,
PSD25_S2.1_t0_B,PSD25,Craig Key,S2.1,2,1,2025-06-09,t0,B,3,0.5,10.8,
